system   D            wsystem.c:583  maybe_parent_dir                 [   0.00095] Also searching C:\Users\Drutol\Desktop\Shooter\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00140] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00146] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01021] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.07194] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.07205] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.07364] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.07369] al_display=001FBDD0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.07373] al_display->vt=001FBD08
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.12188] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.12204] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12219] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12228] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12235] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12245] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12258] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12281] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12289] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12295] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12300] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12303] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12308] Score is : 726
